,list_price_dkk,rooms,home_size_m2,lotsize_m2,expenses_dkk,balcony,floor_as_int,m2_price,zipcode_avg_m2_price,age,Zipcode_1300,Zipcode_1600,Zipcode_1799,Zipcode_1900,Zipcode_2000,Zipcode_2100,Zipcode_2150,Zipcode_2200,Zipcode_2300,Zipcode_2400,Zipcode_2450,Zipcode_2500,Zipcode_2700,Zipcode_2720,Zipcode_2770,Zipcode_2900,Hometype_Andelsbolig,Hometype_Ejerlejlighed,Hometype_Fritidshus,Hometype_Rækkehus,Hometype_Villa,Hometype_Villalejlighed
50,8295000.0,6.0,232,0.0,9655.0,2,6,35754.31034482759,49171.014350839054,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,2495000.0,2.0,67,0.0,2557.0,2,1,37238.80597014925,49171.014350839054,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,3095000.0,3.0,65,0.0,5026.0,0,2,47615.38461538462,49171.014350839054,121.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,6295000.0,4.0,106,0.0,4363.0,2,4,59386.79245283019,58670.47911762888,118.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,6800000.0,4.0,123,629.0,2805.0,2,3,55284.55284552846,58670.47911762888,127.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,3525941.0,3.0,95,0.0,2172.0,2,0,37115.16842105263,49171.014350839054,121.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,1735000.0,1.0,34,0.0,1628.0,2,5,51029.41176470588,49171.014350839054,57.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,4795000.0,2.0,81,0.0,3753.0,2,4,59197.53086419753,49171.014350839054,17.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,13000000.0,6.0,204,0.0,6798.0,0,0,63725.490196078434,58670.47911762888,149.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,3295000.0,2.0,64,0.0,2901.0,0,2,51484.375,49171.014350839054,112.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,3900000.0,2.0,69,0.0,3368.0,0,0,56521.739130434784,58670.47911762888,111.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,7500000.0,4.0,124,0.0,5443.0,0,2,60483.87096774193,49171.014350839054,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,4295000.0,3.0,85,0.0,4598.0,0,0,50529.41176470588,49171.014350839054,88.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,7750000.0,5.0,136,0.0,4233.0,2,4,56985.294117647056,58670.47911762888,116.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,9250000.0,5.0,163,0.0,4375.0,0,1,56748.46625766871,49171.014350839054,114.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,9875000.0,3.0,109,0.0,7073.0,2,1,90596.33027522935,58670.47911762888,149.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,12400000.0,3.0,123,0.0,10159.0,0,0,100813.0081300813,58670.47911762888,149.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,13500000.0,4.0,150,0.0,11606.0,2,1,90000.0,58670.47911762888,149.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,14350000.0,5.0,144,0.0,12472.0,2,0,99652.77777777778,58670.47911762888,149.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,2825630.0,3.0,89,0.0,6190.0,2,0,31748.65168539326,49171.014350839054,32.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,3695000.0,3.0,76,0.0,2269.0,2,3,48618.42105263158,49171.014350839054,108.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,8450000.0,5.0,130,0.0,5094.0,2,0,65000.0,58670.47911762888,124.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,6345000.0,5.0,113,0.0,4025.0,2,5,56150.44247787611,58670.47911762888,138.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,4160000.0,3.0,87,0.0,3524.0,2,1,47816.09195402299,49171.014350839054,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,2260985.0,3.0,83,0.0,5993.0,0,0,27240.78313253012,58670.47911762888,121.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,2352445.0,3.0,86,0.0,5993.0,0,0,27354.011627906977,58670.47911762888,121.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,5248000.0,3.0,122,0.0,4908.0,2,1,43016.39344262295,49171.014350839054,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,13000000.0,5.0,144,591.0,8375.0,0,0,90277.77777777778,49171.014350839054,111.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,2345000.0,2.0,45,0.0,1573.0,2,3,52111.11111111111,49171.014350839054,89.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,3695000.0,3.0,67,0.0,3902.0,2,2,55149.253731343284,49171.014350839054,118.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,4350000.0,3.0,78,0.0,3845.0,2,4,55769.230769230766,58670.47911762888,136.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,5250000.0,3.0,97,0.0,4146.0,2,1,54123.71134020619,49171.014350839054,138.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
